assessment_id,course_id,assessment_title,assessment_type,difficulty,question_count,max_score,passing_score,llm_generated,gamified_mode,proctoring_required,created_at
ASM000001,CRS036542,Coding Challenge Assessment 1,MCQ,Advanced,56,50,28,True,Classic,False,2025-04-25
ASM000002,CRS033442,Simulation Assessment 2,Simulation,Expert,46,100,53,True,Escape Room,True,2024-09-06
ASM000003,CRS049380,Simulation Assessment 3,Case Study,Advanced,34,100,53,True,Scenario Mission,True,2025-03-16
ASM000004,CRS037796,Simulation Assessment 4,Project Submission,Beginner,39,50,28,True,Classic,False,2025-05-07
ASM000005,CRS031802,Case Study Assessment 5,Case Study,Beginner,26,100,53,True,Quest,True,2025-10-12
ASM000006,CRS010211,Viva Assessment 6,Roleplay,Advanced,48,200,125,True,Quest,False,2024-07-05
ASM000007,CRS006908,Case Study Assessment 7,Project Submission,Advanced,37,200,105,False,Escape Room,True,2026-02-17
ASM000008,CRS003324,Simulation Assessment 8,Viva,Advanced,22,100,56,True,Battle,False,2024-11-02
ASM000009,CRS048148,Coding Challenge Assessment 9,Simulation,Advanced,51,100,51,True,Escape Room,True,2024-09-14
ASM000010,CRS033946,Case Study Assessment 10,MCQ,Beginner,32,50,31,True,Escape Room,False,2025-03-26
ASM000011,CRS011801,Roleplay Assessment 11,Coding Challenge,Advanced,44,150,89,False,Timed Challenge,False,2025-09-13
ASM000012,CRS013783,Simulation Assessment 12,Coding Challenge,Intermediate,20,100,63,True,Escape Room,True,2026-03-16
ASM000013,CRS015899,MCQ Assessment 13,Roleplay,Advanced,25,50,29,False,Classic,False,2024-06-05
ASM000014,CRS004056,Roleplay Assessment 14,MCQ,Beginner,60,100,56,True,Battle,False,2025-03-21
ASM000015,CRS041452,Case Study Assessment 15,Viva,Expert,39,200,100,True,Timed Challenge,False,2024-12-25
ASM000016,CRS040123,Case Study Assessment 16,MCQ,Intermediate,14,200,107,False,Battle,False,2024-07-01
ASM000017,CRS027168,Coding Challenge Assessment 17,Viva,Intermediate,48,50,27,True,Scenario Mission,False,2025-01-14
ASM000018,CRS015208,Coding Challenge Assessment 18,Case Study,Advanced,52,100,52,False,Battle,False,2024-08-27
ASM000019,CRS008256,Case Study Assessment 19,Viva,Expert,22,200,105,True,Classic,False,2025-02-08
ASM000020,CRS044045,Gamified Quest Assessment 20,Coding Challenge,Advanced,21,100,67,True,Classic,True,2025-11-10
ASM000021,CRS030711,Simulation Assessment 21,Case Study,Beginner,50,200,131,True,Escape Room,False,2025-06-14
ASM000022,CRS000715,Case Study Assessment 22,MCQ,Intermediate,47,50,26,True,Classic,False,2025-12-29
ASM000023,CRS040671,Case Study Assessment 23,Viva,Expert,28,150,73,True,Scenario Mission,True,2025-11-09
ASM000024,CRS042790,Gamified Quest Assessment 24,Viva,Beginner,15,100,46,True,Quest,False,2025-07-16
ASM000025,CRS044028,Project Submission Assessment 25,Simulation,Expert,36,200,135,True,Timed Challenge,False,2025-12-18
ASM000026,CRS042781,Viva Assessment 26,Roleplay,Beginner,33,100,49,True,Escape Room,True,2025-06-10
ASM000027,CRS035116,Project Submission Assessment 27,Gamified Quest,Advanced,28,50,27,False,Battle,False,2025-03-02
ASM000028,CRS005026,MCQ Assessment 28,MCQ,Expert,52,200,121,False,Escape Room,False,2025-09-30
ASM000029,CRS043338,Gamified Quest Assessment 29,Gamified Quest,Intermediate,47,150,74,False,Battle,False,2026-02-13
ASM000030,CRS039574,Case Study Assessment 30,Roleplay,Intermediate,32,200,90,True,Scenario Mission,False,2024-07-05
ASM000031,CRS022001,Roleplay Assessment 31,Simulation,Advanced,52,200,95,True,Battle,False,2024-07-25
ASM000032,CRS040778,Gamified Quest Assessment 32,MCQ,Beginner,52,50,27,True,Quest,False,2025-05-17
ASM000033,CRS020737,Project Submission Assessment 33,Simulation,Intermediate,26,100,58,True,Escape Room,False,2026-04-18
ASM000034,CRS012709,Project Submission Assessment 34,Coding Challenge,Advanced,36,50,25,True,Scenario Mission,False,2025-02-14
ASM000035,CRS003174,Coding Challenge Assessment 35,Simulation,Advanced,46,150,74,True,Scenario Mission,True,2026-01-04
ASM000036,CRS008375,Case Study Assessment 36,Roleplay,Beginner,60,100,46,True,Battle,False,2024-06-16
ASM000037,CRS010940,Roleplay Assessment 37,Roleplay,Advanced,30,50,25,True,Classic,False,2026-02-19
ASM000038,CRS036632,Coding Challenge Assessment 38,Viva,Expert,57,200,126,False,Scenario Mission,False,2025-11-20
ASM000039,CRS000144,Viva Assessment 39,Roleplay,Advanced,37,50,30,True,Timed Challenge,False,2025-03-11
ASM000040,CRS041466,Viva Assessment 40,MCQ,Beginner,24,100,57,False,Timed Challenge,False,2025-01-19
ASM000041,CRS008857,Simulation Assessment 41,Coding Challenge,Intermediate,18,200,91,True,Timed Challenge,False,2026-01-08
