certificate_id,user_id,course_id,credential_type,certificate_title,issued_date,expiry_date,verification_qr_url,blockchain_hash,status
CERT0000001,USR046516,CRS004884,Compliance Certificate,Skill Badge in Data Science,2025-07-03,2028-07-02,https://verify.kaasdemo.ai/cert/240a9240-8236-4e3c-a73f-784464a1e905,f4148c4e3b5944af8a891612df1ee57c,Active
CERT0000002,USR005690,CRS003155,Micro Credential,Micro Credential in Quality Management,2025-10-27,2027-10-27,https://verify.kaasdemo.ai/cert/92fe8a7e-c694-4c5b-a544-a50c0d900c43,9d1970bb338341038762f1c4849734f6,Revoked
CERT0000003,USR024444,CRS028650,Professional Certificate,Micro Credential in Cloud,2026-03-29,2029-03-28,https://verify.kaasdemo.ai/cert/de209731-ef23-4cb0-93b9-efcdeccd6b8e,eac9e69b00714b2faf246acf99c156a7,Active
CERT0000004,USR023220,CRS023412,Professional Certificate,Compliance Certificate in Cybersecurity,2025-12-19,2028-12-18,https://verify.kaasdemo.ai/cert/4b5afaa0-d7dc-40ca-acf5-8a6d303d1cb9,b5b80a9ca7ba4b9a9beb173368103cd4,Revoked
CERT0000005,USR033408,CRS020445,Micro Credential,Skill Badge in Data Science,2025-07-12,2026-07-12,https://verify.kaasdemo.ai/cert/c9aed357-d5fc-41a3-9328-b9c9147b44ee,9cce5fb26c0f45079b4a16e1fb0a9a3b,Active
CERT0000006,USR028720,CRS020716,Professional Certificate,Completion Certificate in Project Management,2025-06-01,2026-06-01,https://verify.kaasdemo.ai/cert/fe5cf6c1-e004-447d-aebf-68ca0cdc8103,684019c0f5b940e79fa1fe73755fcd55,Active
CERT0000007,USR039783,CRS004772,Completion Certificate,Leadership Credential in Data Science,2026-04-20,2028-04-19,https://verify.kaasdemo.ai/cert/3e5b576a-8f37-4525-bc8d-af9a608f061e,bfaa89b568db42ab84394162ee7cd8ed,Expired
CERT0000008,USR044048,CRS041845,Completion Certificate,Skill Badge in Cloud,2025-10-18,2028-10-17,https://verify.kaasdemo.ai/cert/b2ca3172-651b-4bbe-81d2-c81220444faf,36eda06d02d54e709a9939e930c08580,Active
CERT0000009,USR025373,CRS029993,Compliance Certificate,Skill Badge in Digital Marketing,2025-11-18,2026-11-18,https://verify.kaasdemo.ai/cert/232891fd-605f-49e6-ab98-6955a178e422,f6bd336624544173b9f30982d04e6dfc,Revoked
CERT0000010,USR018160,CRS018561,Skill Badge,Leadership Credential in Digital Marketing,2026-04-13,2028-04-12,https://verify.kaasdemo.ai/cert/fdeab29a-f399-4fe4-95f0-62fdbfd1afc7,53608868ac354390b967e410a61c6288,Revoked
CERT0000011,USR040091,CRS032128,Compliance Certificate,Compliance Certificate in Cybersecurity,2025-11-30,2028-11-29,https://verify.kaasdemo.ai/cert/9deb60fb-7de0-4c8e-b715-f4e034eada9d,a4c79f56d79f41fbb01794addb5be94f,Active
CERT0000012,USR046878,CRS026220,Skill Badge,Leadership Credential in Leadership,2026-01-28,2027-01-28,https://verify.kaasdemo.ai/cert/36f98b67-5feb-47a8-bbac-5941d6d65d69,f129f10d7bec4d2199bdd7187038d6f4,Active
