enrollment_id,user_id,course_id,enrollment_date,progress_pct,last_activity_date,completion_status,final_score,ai_risk_of_dropout,recommended_next_action,learning_streak_days
ENR0000001,USR027237,CRS015524,2025-07-13,61,2026-04-06,In Progress,7,0.842,Attempt assessment,161
ENR0000002,USR016458,CRS021636,2026-04-26,19,2026-04-06,In Progress,36,0.441,Join forum discussion,61
ENR0000003,USR015715,CRS008162,2025-11-11,57,2026-03-14,In Progress,69,0.338,Revise weak concepts,27
ENR0000004,USR023120,CRS004224,2025-09-19,24,2026-04-15,In Progress,66,0.659,Continue next lesson,68
ENR0000005,USR005186,CRS048323,2026-02-16,49,2026-03-17,In Progress,45,0.141,Take mock interview,151
ENR0000006,USR027610,CRS021944,2026-02-15,46,2026-05-01,In Progress,13,0.82,Take mock interview,57
ENR0000007,USR047773,CRS011658,2025-12-07,65,2026-05-08,In Progress,18,0.099,Join forum discussion,147
ENR0000008,USR002460,CRS038888,2025-06-03,26,2026-04-05,In Progress,37,0.877,Continue next lesson,77
ENR0000009,USR026907,CRS044723,2025-08-02,47,2026-04-28,In Progress,53,0.571,Join forum discussion,146
ENR0000010,USR023894,CRS012358,2025-07-24,80,2026-04-13,In Progress,32,0.796,Attempt assessment,60
ENR0000011,USR015712,CRS011595,2026-04-09,94,2026-04-05,In Progress,23,0.626,Continue next lesson,150
ENR0000012,USR013066,CRS002344,2025-05-20,17,2026-05-09,In Progress,14,0.75,Attempt assessment,114
ENR0000013,USR034996,CRS021602,2025-09-21,4,2026-05-04,In Progress,7,0.132,Join forum discussion,88
ENR0000014,USR014286,CRS041383,2025-06-27,52,2026-03-27,In Progress,92,0.176,Take mock interview,142
ENR0000015,USR027454,CRS011988,2025-10-31,97,2026-05-13,Completed,69,0.645,Take mock interview,152
ENR0000016,USR029047,CRS001650,2025-12-24,2,2026-03-20,In Progress,12,0.396,Revise weak concepts,134
ENR0000017,USR008097,CRS008049,2026-02-08,13,2026-03-31,In Progress,40,0.843,Join forum discussion,23
ENR0000018,USR002686,CRS042705,2026-04-01,60,2026-05-07,In Progress,49,0.62,Schedule mentor call,158
ENR0000019,USR005930,CRS044364,2026-05-08,2,2026-04-18,In Progress,8,0.247,Attempt assessment,100
ENR0000020,USR038495,CRS002503,2025-07-24,86,2026-05-13,In Progress,92,0.462,Continue next lesson,82
ENR0000021,USR029393,CRS018679,2025-07-29,9,2026-03-17,In Progress,58,0.319,Join forum discussion,149
ENR0000022,USR024548,CRS002334,2026-01-15,25,2026-05-01,In Progress,52,0.084,Take mock interview,76
ENR0000023,USR016256,CRS010526,2025-09-24,10,2026-05-06,In Progress,38,0.91,Take mock interview,141
ENR0000024,USR010419,CRS002496,2025-12-03,94,2026-05-02,In Progress,90,0.948,Take mock interview,163
ENR0000025,USR029189,CRS028762,2026-02-01,42,2026-03-30,In Progress,6,0.172,Take mock interview,28
ENR0000026,USR030660,CRS027292,2025-10-28,65,2026-05-07,In Progress,58,0.573,Take mock interview,91
ENR0000027,USR028598,CRS043481,2025-08-12,10,2026-03-26,In Progress,44,0.254,Attempt assessment,77
ENR0000028,USR017567,CRS022192,2026-02-17,94,2026-03-20,In Progress,91,0.363,Continue next lesson,19
ENR0000029,USR035334,CRS036405,2025-11-01,91,2026-04-11,In Progress,6,0.43,Take mock interview,109
ENR0000030,USR048257,CRS036057,2026-02-13,33,2026-04-03,In Progress,33,0.81,Join forum discussion,78
ENR0000031,USR036662,CRS049624,2026-03-03,38,2026-05-09,In Progress,73,0.574,Attempt assessment,142
ENR0000032,USR034699,CRS028090,2025-08-27,97,2026-04-23,Completed,49,0.366,Join forum discussion,11
ENR0000033,USR038215,CRS027951,2025-10-04,52,2026-04-06,In Progress,35,0.275,Join forum discussion,80
ENR0000034,USR021839,CRS013882,2026-05-02,55,2026-04-09,In Progress,35,0.25,Revise weak concepts,15
ENR0000035,USR005740,CRS015344,2026-05-09,41,2026-03-21,In Progress,90,0.781,Join forum discussion,14
ENR0000036,USR009075,CRS020081,2025-06-03,23,2026-04-23,In Progress,53,0.096,Attempt assessment,173
ENR0000037,USR036503,CRS048108,2026-01-13,57,2026-04-24,In Progress,49,0.038,Schedule mentor call,7
ENR0000038,USR046021,CRS042261,2025-07-06,38,2026-04-19,In Progress,41,0.08,Attempt assessment,7
ENR0000039,USR045720,CRS013750,2025-09-07,3,2026-03-17,In Progress,4,0.122,Join forum discussion,155
ENR0000040,USR020451,CRS046617,2026-04-14,62,2026-04-27,In Progress,83,0.936,Schedule mentor call,9
ENR0000041,USR005943,CRS036831,2026-04-20,33,2026-04-25,In Progress,65,0.536,Attempt assessment,156
ENR0000042,USR013360,CRS005683,2026-05-09,36,2026-04-20,In Progress,23,0.784,Revise weak concepts,56
ENR0000043,USR022302,CRS046065,2025-07-18,75,2026-04-30,In Progress,42,0.511,Attempt assessment,159
ENR0000044,USR013915,CRS027551,2025-12-20,7,2026-03-23,In Progress,14,0.428,Revise weak concepts,30
ENR0000045,USR002312,CRS024465,2026-03-08,98,2026-04-01,Completed,25,0.335,Join forum discussion,178
ENR0000046,USR010388,CRS016640,2026-03-24,87,2026-05-10,In Progress,99,0.507,Schedule mentor call,156
ENR0000047,USR024889,CRS041453,2025-08-20,86,2026-03-27,In Progress,39,0.161,Revise weak concepts,4
ENR0000048,USR005692,CRS019454,2025-06-20,32,2026-03-24,In Progress,33,0.076,Revise weak concepts,152
ENR0000049,USR037758,CRS022963,2026-03-19,88,2026-04-17,In Progress,97,0.545,Take mock interview,5
ENR0000050,USR015640,CRS031014,2026-05-04,35,2026-05-11,In Progress,56,0.81,Continue next lesson,66
ENR0000051,USR028793,CRS044103,2025-09-04,59,2026-04-21,In Progress,88,0.697,Revise weak concepts,44
ENR0000052,USR023640,CRS000937,2026-01-08,60,2026-04-16,In Progress,65,0.569,Schedule mentor call,56
ENR0000053,USR000275,CRS002234,2026-05-13,95,2026-04-11,Completed,66,0.048,Schedule mentor call,14
ENR0000054,USR032778,CRS027390,2025-11-13,44,2026-03-31,In Progress,94,0.866,Revise weak concepts,155
ENR0000055,USR042934,CRS006835,2025-11-28,46,2026-05-06,In Progress,41,0.11,Join forum discussion,91
ENR0000056,USR005131,CRS041806,2026-02-19,8,2026-04-15,In Progress,58,0.294,Schedule mentor call,126
ENR0000057,USR026117,CRS040841,2025-09-29,83,2026-04-14,In Progress,40,0.208,Revise weak concepts,176
ENR0000058,USR045886,CRS037969,2026-02-28,49,2026-03-26,In Progress,50,0.516,Revise weak concepts,7
ENR0000059,USR030553,CRS023516,2026-02-10,74,2026-04-15,In Progress,98,0.637,Join forum discussion,133
ENR0000060,USR028454,CRS039886,2025-08-14,85,2026-04-05,In Progress,41,0.603,Take mock interview,132
ENR0000061,USR033169,CRS049814,2026-04-14,82,2026-03-26,In Progress,71,0.465,Continue next lesson,135
ENR0000062,USR036229,CRS040658,2025-09-10,70,2026-03-28,In Progress,50,0.603,Attempt assessment,85
ENR0000063,USR039559,CRS027598,2025-10-28,28,2026-03-30,In Progress,40,0.426,Schedule mentor call,55
ENR0000064,USR029354,CRS024575,2025-11-02,11,2026-04-20,In Progress,16,0.895,Take mock interview,165
ENR0000065,USR005755,CRS045060,2025-11-28,15,2026-05-01,In Progress,25,0.317,Take mock interview,7
ENR0000066,USR024069,CRS029198,2025-11-07,11,2026-04-08,In Progress,31,0.794,Schedule mentor call,170
ENR0000067,USR003590,CRS003788,2025-05-29,91,2026-04-05,In Progress,55,0.192,Schedule mentor call,136
ENR0000068,USR014049,CRS010178,2025-08-24,86,2026-03-24,In Progress,56,0.028,Attempt assessment,70
ENR0000069,USR017981,CRS016053,2025-08-19,42,2026-04-09,In Progress,36,0.586,Attempt assessment,30
ENR0000070,USR005038,CRS041210,2025-08-28,87,2026-04-21,In Progress,18,0.847,Revise weak concepts,152
ENR0000071,USR046866,CRS022040,2025-06-02,26,2026-03-14,In Progress,87,0.263,Join forum discussion,14
ENR0000072,USR032841,CRS044367,2025-11-08,13,2026-03-17,In Progress,43,0.021,Schedule mentor call,122
ENR0000073,USR032620,CRS035595,2025-11-29,37,2026-03-17,In Progress,41,0.571,Take mock interview,146
