enterprise_id,enterprise_name,industry,city,country,employee_count,subscription_plan,created_at
ENT00001,Data Systems 1,Healthcare,Hyderabad,UAE,9194,Free Trial,2026-04-05
ENT00002,Tech Industries 2,Energy,Kolkata,India,2002,Free Trial,2024-12-22
ENT00003,Future Systems 3,Automotive,Hyderabad,Singapore,42640,Government,2025-07-16
ENT00004,Future Academy 4,Energy,Delhi,India,49779,Starter,2026-04-27
ENT00005,Prime Consulting 5,Healthcare,Bengaluru,UAE,22109,Free Trial,2024-08-15
ENT00006,Prime Industries 6,Government,Chennai,Malaysia,17385,Free Trial,2025-08-26
ENT00007,Tech Industries 7,Retail,Mumbai,Malaysia,19263,Government,2025-05-18
ENT00008,Insight University 8,BFSI,Pune,Singapore,14985,Professional,2024-08-02
ENT00009,Future Industries 9,Retail,Delhi,UK,41710,Professional,2024-10-26
ENT00010,Global Consulting 10,Education,New York,USA,46044,Free Trial,2026-01-26
ENT00011,Skill University 11,Manufacturing,Ahmedabad,UK,17741,Government,2024-12-23
ENT00012,Global Systems 12,Education,Pune,USA,26340,Professional,2024-07-19
ENT00013,Future Consulting 13,Education,New York,UK,25978,Enterprise,2024-10-06
ENT00014,Apex Bank 14,Education,Singapore,Malaysia,35372,Professional,2026-01-01
ENT00015,Prime Group 15,Government,Hyderabad,UAE,33442,Enterprise,2024-08-14
ENT00016,Nova Industries 16,Manufacturing,New York,UAE,44646,Enterprise,2026-01-13
ENT00017,Data Group 17,Retail,London,UK,34726,Professional,2025-11-30
ENT00018,Nova Industries 18,Automotive,Kuala Lumpur,USA,42056,Professional,2024-09-04
ENT00019,Apex Group 19,Manufacturing,Ahmedabad,India,47373,Professional,2025-10-07
ENT00020,Skill Industries 20,Healthcare,New York,Malaysia,39959,Starter,2024-10-16
ENT00021,Global Bank 21,Automotive,Kuala Lumpur,Malaysia,87,Government,2025-04-09
ENT00022,NextGen Systems 22,BFSI,Chennai,USA,15742,Free Trial,2025-01-14
ENT00023,Insight Industries 23,BFSI,Singapore,UK,4585,Government,2024-09-18
ENT00024,Skill Academy 24,Automotive,Bengaluru,USA,34631,Government,2025-07-20
ENT00025,Future University 25,Healthcare,Kolkata,Singapore,42640,Professional,2025-08-04
ENT00026,Tech Academy 26,BFSI,Hyderabad,UAE,4246,Professional,2024-06-03
ENT00027,Insight University 27,Energy,Hyderabad,India,4702,Free Trial,2025-01-02
ENT00028,Data Systems 28,Government,Mumbai,Malaysia,15647,Professional,2026-03-29
ENT00029,NextGen University 29,Automotive,Bengaluru,Singapore,37473,Government,2025-09-09
ENT00030,Future Academy 30,Retail,Hyderabad,India,6402,Enterprise,2025-05-10
ENT00031,Prime Group 31,Telecom,Singapore,India,44179,Free Trial,2024-07-14
ENT00032,Prime Consulting 32,BFSI,Hyderabad,UAE,12515,Government,2025-08-15
ENT00033,Skill Group 33,Manufacturing,Delhi,UK,16421,Free Trial,2025-08-09
ENT00034,Tech Industries 34,IT Services,New York,Malaysia,1017,Free Trial,2025-01-10
ENT00035,Skill Group 35,Telecom,Ahmedabad,UAE,26332,Free Trial,2024-10-28
ENT00036,Prime Systems 36,Retail,Delhi,UK,18744,Enterprise,2026-04-26
ENT00037,Tech Academy 37,Manufacturing,Hyderabad,USA,14317,Free Trial,2025-12-27
ENT00038,Tech Systems 38,Government,Pune,India,38334,Enterprise,2025-10-09
ENT00039,Tech Bank 39,IT Services,Dubai,India,12228,Free Trial,2026-01-12
ENT00040,Data University 40,Retail,Mumbai,Malaysia,16185,Government,2026-01-11
ENT00041,Nova Industries 41,Retail,New York,Malaysia,37092,Government,2025-04-01
ENT00042,Apex University 42,Government,Hyderabad,USA,25988,Starter,2026-03-31
ENT00043,Apex Academy 43,Government,Kuala Lumpur,India,660,Enterprise,2026-02-08
ENT00044,Insight Industries 44,BFSI,Dubai,UAE,33203,Professional,2024-09-25
ENT00045,Global Industries 45,Education,Chennai,USA,10388,Enterprise,2025-11-20
ENT00046,Apex Systems 46,Automotive,Delhi,Singapore,6838,Starter,2025-02-07
ENT00047,Data Industries 47,Automotive,Bengaluru,USA,18515,Government,2024-12-14
ENT00048,Global University 48,Healthcare,Dubai,UK,16507,Free Trial,2024-08-15
ENT00049,Prime Labs 49,IT Services,Pune,USA,8623,Professional,2024-10-25
ENT00050,NextGen Group 50,Automotive,Pune,India,4981,Starter,2025-11-22
ENT00051,Nova Consulting 51,Energy,Dubai,UAE,28216,Starter,2024-06-24
ENT00052,Apex Consulting 52,IT Services,Chennai,UAE,44749,Starter,2026-03-26
ENT00053,Data Consulting 53,Automotive,Kolkata,Malaysia,49167,Starter,2025-01-10
ENT00054,Skill Bank 54,Retail,Pune,UAE,48321,Professional,2025-07-08
ENT00055,Future Labs 55,Manufacturing,Kuala Lumpur,Singapore,7134,Enterprise,2024-06-21
ENT00056,NextGen University 56,Education,Ahmedabad,USA,20050,Starter,2024-12-27
ENT00057,Nova University 57,Retail,Chennai,USA,4599,Professional,2025-05-07
ENT00058,Tech Group 58,Automotive,Chennai,India,7609,Professional,2024-11-11
ENT00059,Insight Labs 59,IT Services,Mumbai,Malaysia,28529,Professional,2025-03-30
ENT00060,Prime Industries 60,Retail,London,UAE,16743,Free Trial,2026-05-08
ENT00061,Prime Systems 61,Automotive,Kuala Lumpur,Malaysia,45063,Starter,2025-05-20
ENT00062,Prime Industries 62,Government,London,USA,43525,Free Trial,2025-03-16
ENT00063,Tech Labs 63,Retail,Chennai,UK,45742,Professional,2025-12-01
ENT00064,Skill University 64,Retail,New York,UK,44438,Starter,2026-02-02
ENT00065,Insight Labs 65,Retail,Dubai,India,19964,Professional,2024-12-14
ENT00066,Prime Consulting 66,Telecom,Ahmedabad,UK,44327,Starter,2025-10-18
ENT00067,NextGen Bank 67,BFSI,Delhi,Malaysia,43556,Government,2025-04-21
ENT00068,Data University 68,Healthcare,Hyderabad,UAE,9706,Free Trial,2024-06-29
ENT00069,Future Academy 69,Energy,Kuala Lumpur,India,29896,Enterprise,2026-02-16
ENT00070,Insight University 70,Retail,Ahmedabad,UK,16039,Starter,2026-03-15
ENT00071,Nova Industries 71,Retail,Hyderabad,UAE,45657,Government,2025-08-31
ENT00072,Nova University 72,BFSI,Ahmedabad,UAE,30500,Government,2025-12-06
ENT00073,Insight Consulting 73,Telecom,London,Singapore,33131,Enterprise,2025-11-25
ENT00074,NextGen Bank 74,Telecom,Ahmedabad,USA,49318,Starter,2026-02-24
ENT00075,Apex Academy 75,Education,Delhi,UK,5127,Professional,2025-01-08
ENT00076,Apex Consulting 76,Government,Dubai,India,9118,Starter,2025-01-04
ENT00077,Prime Bank 77,Education,Mumbai,UK,26762,Professional,2025-11-19
ENT00078,NextGen Group 78,IT Services,Hyderabad,UK,25574,Government,2026-04-25
ENT00079,Nova Group 79,Telecom,Pune,USA,19619,Enterprise,2025-07-16
ENT00080,Tech University 80,Telecom,Hyderabad,USA,28612,Enterprise,2024-06-11
ENT00081,Prime Consulting 81,Retail,Singapore,UAE,30680,Starter,2026-02-09
ENT00082,Tech Systems 82,Retail,London,Malaysia,43500,Free Trial,2024-08-06
ENT00083,Prime Bank 83,Telecom,Bengaluru,India,17099,Enterprise,2025-04-13
ENT00084,Future Academy 84,Government,Chennai,UK,18285,Enterprise,2025-01-26
ENT00085,Data Academy 85,IT Services,Singapore,Malaysia,3463,Professional,2024-12-28
ENT00086,Data Systems 86,IT Services,Hyderabad,UAE,1385,Government,2024-10-16
ENT00087,Future Bank 87,Telecom,New York,India,37010,Starter,2025-09-01
ENT00088,Apex Consulting 88,Manufacturing,London,Malaysia,49066,Free Trial,2024-10-27
ENT00089,Apex Industries 89,Energy,Pune,USA,37785,Enterprise,2025-06-23
ENT00090,Future Industries 90,Energy,Singapore,Singapore,15965,Free Trial,2026-04-26
ENT00091,Apex Industries 91,Energy,Kuala Lumpur,India,22804,Government,2025-07-25
