gamification_id,user_id,xp_points,coins,level,badges_count,current_streak_days,leaderboard_rank_global,mission_completed_count,challenge_win_rate,last_reward_date
GAM0000001,USR000001,9986,1721,20,65,21,1,70,0.122,2026-03-16
GAM0000002,USR000002,8813,2208,18,77,230,2,25,0.542,2026-05-02
GAM0000003,USR000003,7504,214,16,72,300,3,114,0.718,2026-04-15
GAM0000004,USR000004,13497,2743,27,72,234,4,44,0.287,2026-04-21
GAM0000005,USR000005,19623,7518,40,13,252,5,106,0.499,2026-03-26
GAM0000006,USR000006,21891,4096,44,1,20,6,126,0.718,2026-04-05
GAM0000007,USR000007,2676,3911,6,36,220,7,63,0.24,2026-05-07
GAM0000008,USR000008,22459,2128,45,19,173,8,126,0.168,2026-04-14
GAM0000009,USR000009,5908,8498,12,5,165,9,17,0.744,2026-04-03
GAM0000010,USR000010,15149,9248,31,70,358,10,42,0.61,2026-04-24
GAM0000011,USR000011,5505,7529,12,35,142,11,166,0.915,2026-04-06
GAM0000012,USR000012,10648,3799,22,30,98,12,132,0.441,2026-03-31
GAM0000013,USR000013,8261,229,17,18,189,13,19,0.433,2026-03-14
GAM0000014,USR000014,8041,5321,17,9,53,14,110,0.996,2026-05-06
GAM0000015,USR000015,12268,2399,25,46,158,15,173,0.742,2026-04-24
GAM0000016,USR000016,19903,4407,40,78,79,16,161,0.583,2026-04-01
GAM0000017,USR000017,18418,927,37,31,57,17,188,0.373,2026-03-15
GAM0000018,USR000018,11400,3989,23,65,242,18,24,0.462,2026-05-09
GAM0000019,USR000019,10612,7741,22,43,307,19,20,0.988,2026-03-22
GAM0000020,USR000020,17610,986,36,78,130,20,142,0.036,2026-04-16
GAM0000021,USR000021,2969,9083,6,16,212,21,145,0.61,2026-05-04
GAM0000022,USR000022,14005,1601,29,43,333,22,9,0.506,2026-04-08
GAM0000023,USR000023,6064,9679,13,80,162,23,188,0.589,2026-03-14
GAM0000024,USR000024,5274,9751,11,63,57,24,6,0.818,2026-03-19
GAM0000025,USR000025,6940,994,14,56,113,25,88,0.486,2026-04-02
GAM0000026,USR000026,46,9360,1,0,310,26,125,0.082,2026-04-01
GAM0000027,USR000027,22635,2863,46,24,50,27,161,0.486,2026-05-10
GAM0000028,USR000028,329,2152,1,6,182,28,99,0.462,2026-03-22
GAM0000029,USR000029,20508,4569,42,18,87,29,185,0.526,2026-05-05
GAM0000030,USR000030,97,4552,1,25,120,30,168,0.705,2026-05-11
GAM0000031,USR000031,20648,4172,42,74,105,31,193,0.704,2026-04-01
GAM0000032,USR000032,4847,4648,10,77,175,32,154,0.128,2026-04-14
GAM0000033,USR000033,6294,3605,13,59,65,33,42,0.803,2026-05-08
GAM0000034,USR000034,20952,4287,42,7,156,34,127,0.871,2026-05-05
GAM0000035,USR000035,12120,562,25,60,136,35,153,0.128,2026-03-31
GAM0000036,USR000036,4127,4515,9,9,164,36,1,0.201,2026-04-09
GAM0000037,USR000037,2651,7360,6,64,347,37,0,0.553,2026-03-31
GAM0000038,USR000038,24887,6024,50,15,193,38,1,0.55,2026-03-16
GAM0000039,USR000039,6030,3527,13,65,67,39,200,0.507,2026-04-28
GAM0000040,USR000040,6697,1190,14,42,8,40,88,0.881,2026-04-29
GAM0000041,USR000041,11014,4949,23,52,205,41,11,0.628,2026-04-20
GAM0000042,USR000042,21813,2925,44,64,177,42,127,0.783,2026-03-17
GAM0000043,USR000043,10930,369,22,38,216,43,161,0.065,2026-04-06
GAM0000044,USR000044,1987,7744,4,45,8,44,190,0.437,2026-03-19
GAM0000045,USR000045,9796,6659,20,47,345,45,33,0.3,2026-04-25
GAM0000046,USR000046,14525,6539,30,9,294,46,145,0.698,2026-04-29
GAM0000047,USR000047,14818,4085,30,24,244,47,190,0.33,2026-04-17
GAM0000048,USR000048,22961,5149,46,76,307,48,6,0.823,2026-04-29
GAM0000049,USR000049,5529,2336,12,48,261,49,94,0.814,2026-04-22
GAM0000050,USR000050,8414,7118,17,4,150,50,32,0.19,2026-03-28
GAM0000051,USR000051,19557,3982,40,71,203,51,32,0.946,2026-04-23
GAM0000052,USR000052,21953,9121,44,40,227,52,159,0.094,2026-03-25
GAM0000053,USR000053,1056,8110,3,14,68,53,105,0.124,2026-05-11
GAM0000054,USR000054,20019,4997,41,17,32,54,188,0.023,2026-04-11
GAM0000055,USR000055,1959,4094,4,63,39,55,115,0.829,2026-03-26
GAM0000056,USR000056,19886,6202,40,66,46,56,175,0.477,2026-05-07
GAM0000057,USR000057,21449,5227,43,62,128,57,106,0.84,2026-04-05
GAM0000058,USR000058,17093,46,35,46,320,58,104,0.026,2026-04-05
GAM0000059,USR000059,24435,9217,49,67,219,59,196,0.247,2026-05-04
GAM0000060,USR000060,11501,9574,24,42,20,60,76,0.987,2026-04-04
GAM0000061,USR000061,14658,8962,30,17,322,61,145,0.176,2026-04-17
GAM0000062,USR000062,24082,3254,49,51,338,62,160,0.928,2026-03-21
GAM0000063,USR000063,14436,9100,29,48,114,63,171,0.22,2026-03-25
GAM0000064,USR000064,1263,121,3,57,50,64,127,0.785,2026-04-06
GAM0000065,USR000065,2421,3456,5,40,101,65,65,0.615,2026-03-28
GAM0000066,USR000066,11590,6850,24,3,359,66,189,0.17,2026-03-29
GAM0000067,USR000067,2125,9058,5,2,159,67,138,0.03,2026-03-19
GAM0000068,USR000068,13723,3348,28,74,119,68,181,0.939,2026-04-25
GAM0000069,USR000069,530,1969,2,74,55,69,192,0.737,2026-05-02
GAM0000070,USR000070,22293,6995,45,37,75,70,119,0.053,2026-04-08
GAM0000071,USR000071,10846,1869,22,24,149,71,125,0.253,2026-03-22
GAM0000072,USR000072,22258,2320,45,51,276,72,8,0.832,2026-04-27
GAM0000073,USR000073,14859,5549,30,1,347,73,32,0.858,2026-05-05
GAM0000074,USR000074,12220,7112,25,33,286,74,107,0.134,2026-04-24
GAM0000075,USR000075,19054,7347,39,17,134,75,35,0.495,2026-05-01
GAM0000076,USR000076,1172,1147,3,80,77,76,14,0.494,2026-04-21
GAM0000077,USR000077,20800,4757,42,18,73,77,199,0.218,2026-04-05
GAM0000078,USR000078,8565,3850,18,63,272,78,136,0.01,2026-04-25
GAM0000079,USR000079,16965,8564,34,77,183,79,44,0.896,2026-03-17
GAM0000080,USR000080,4779,4826,10,23,9,80,128,0.788,2026-04-06
GAM0000081,USR000081,5129,8227,11,8,298,81,190,0.066,2026-03-25
GAM0000082,USR000082,3661,7994,8,72,129,82,20,0.268,2026-04-15
GAM0000083,USR000083,13059,1075,27,66,103,83,57,0.222,2026-04-04
GAM0000084,USR000084,7067,8749,15,18,126,84,44,0.934,2026-04-30
GAM0000085,USR000085,14574,6282,30,16,5,85,101,0.731,2026-04-01
GAM0000086,USR000086,12614,1691,26,66,279,86,11,0.602,2026-04-07
GAM0000087,USR000087,11399,9867,23,41,108,87,180,0.51,2026-04-26
GAM0000088,USR000088,10109,69,21,48,76,88,166,0.58,2026-04-02
GAM0000089,USR000089,14158,4204,29,39,49,89,59,0.16,2026-03-22
GAM0000090,USR000090,12918,2174,26,51,281,90,18,0.032,2026-03-17
GAM0000091,USR000091,10726,6816,22,18,307,91,152,0.817,2026-05-10
GAM0000092,USR000092,8850,6481,18,54,123,92,72,0.946,2026-04-05
GAM0000093,USR000093,1459,1354,3,39,182,93,25,0.975,2026-03-16
GAM0000094,USR000094,21948,2938,44,49,309,94,75,0.041,2026-03-19
GAM0000095,USR000095,20540,6149,42,41,287,95,73,0.431,2026-05-12
GAM0000096,USR000096,4505,1088,10,11,23,96,20,0.712,2026-04-16
GAM0000097,USR000097,2049,89,5,33,256,97,124,0.176,2026-03-14
GAM0000098,USR000098,16994,4776,34,30,262,98,28,0.266,2026-04-17
GAM0000099,USR000099,9440,7201,19,23,267,99,136,0.589,2026-04-08
GAM0000100,USR000100,21210,6930,43,35,17,100,67,0.185,2026-04-28
GAM0000101,USR000101,3588,1516,8,54,293,101,13,0.909,2026-03-22
GAM0000102,USR000102,7672,6416,16,36,117,102,188,0.531,2026-04-21
GAM0000103,USR000103,9215,1453,19,18,80,103,190,0.141,2026-03-15
GAM0000104,USR000104,12348,9722,25,31,112,104,129,0.955,2026-04-06
GAM0000105,USR000105,9286,6764,19,61,82,105,73,0.215,2026-04-02
GAM0000106,USR000106,14179,3687,29,42,131,106,42,0.717,2026-03-22
GAM0000107,USR000107,23870,7972,48,11,228,107,5,0.142,2026-03-29
GAM0000108,USR000108,2982,4826,6,63,214,108,66,0.151,2026-03-29
GAM0000109,USR000109,11201,7081,23,55,352,109,190,0.095,2026-04-30
GAM0000110,USR000110,5267,1555,11,68,164,110,173,0.084,2026-04-13
GAM0000111,USR000111,3623,8151,8,6,162,111,22,0.075,2026-05-08
GAM0000112,USR000112,15016,3783,31,71,315,112,64,0.725,2026-05-13
GAM0000113,USR000113,17230,5151,35,56,53,113,12,0.288,2026-04-07
GAM0000114,USR000114,1679,6131,4,4,53,114,1,0.309,2026-03-16
GAM0000115,USR000115,18785,1001,38,61,257,115,161,0.144,2026-04-18
GAM0000116,USR000116,7870,5509,16,6,171,116,108,0.754,2026-03-31
GAM0000117,USR000117,22064,8523,45,72,306,117,174,0.261,2026-03-31
GAM0000118,USR000118,19213,7269,39,75,346,118,126,0.936,2026-04-02
GAM0000119,USR000119,4512,2418,10,53,23,119,163,0.719,2026-03-16
GAM0000120,USR000120,17677,4122,36,51,91,120,170,0.459,2026-05-13
