skill_id,skill_name,domain,skill_level,description,market_demand_score,ai_recommendation_weight
SKL00001,Governance Skill 1,Governance,Intermediate,"Competency in Governance Skill 1 for practical, enterprise-ready outcomes.",78,0.901
SKL00002,Cloud Skill 2,Cloud,Beginner,"Competency in Cloud Skill 2 for practical, enterprise-ready outcomes.",46,0.398
SKL00003,Cybersecurity Skill 3,Cybersecurity,Expert,"Competency in Cybersecurity Skill 3 for practical, enterprise-ready outcomes.",84,0.599
SKL00004,Project Management Skill 4,Project Management,Advanced,"Competency in Project Management Skill 4 for practical, enterprise-ready outcomes.",82,0.353
SKL00005,Cybersecurity Skill 5,Cybersecurity,Beginner,"Competency in Cybersecurity Skill 5 for practical, enterprise-ready outcomes.",43,0.454
SKL00006,Healthcare Skill 6,Healthcare,Expert,"Competency in Healthcare Skill 6 for practical, enterprise-ready outcomes.",49,0.149
SKL00007,AI Skill 7,AI,Expert,"Competency in AI Skill 7 for practical, enterprise-ready outcomes.",45,0.365
SKL00008,Governance Skill 8,Governance,Expert,"Competency in Governance Skill 8 for practical, enterprise-ready outcomes.",52,0.187
SKL00009,Cybersecurity Skill 9,Cybersecurity,Intermediate,"Competency in Cybersecurity Skill 9 for practical, enterprise-ready outcomes.",80,0.363
SKL00010,Data Science Skill 10,Data Science,Expert,"Competency in Data Science Skill 10 for practical, enterprise-ready outcomes.",94,0.204
SKL00011,Sales Skill 11,Sales,Expert,"Competency in Sales Skill 11 for practical, enterprise-ready outcomes.",70,0.54
SKL00012,Governance Skill 12,Governance,Advanced,"Competency in Governance Skill 12 for practical, enterprise-ready outcomes.",45,0.678
SKL00013,Leadership Skill 13,Leadership,Intermediate,"Competency in Leadership Skill 13 for practical, enterprise-ready outcomes.",63,0.897
SKL00014,Full Stack Skill 14,Full Stack,Intermediate,"Competency in Full Stack Skill 14 for practical, enterprise-ready outcomes.",68,0.14
SKL00015,Finance Skill 15,Finance,Expert,"Competency in Finance Skill 15 for practical, enterprise-ready outcomes.",56,0.304
SKL00016,Digital Marketing Skill 16,Digital Marketing,Beginner,"Competency in Digital Marketing Skill 16 for practical, enterprise-ready outcomes.",49,0.777
SKL00017,Governance Skill 17,Governance,Beginner,"Competency in Governance Skill 17 for practical, enterprise-ready outcomes.",45,0.701
SKL00018,Sales Skill 18,Sales,Expert,"Competency in Sales Skill 18 for practical, enterprise-ready outcomes.",88,0.631
SKL00019,Healthcare Skill 19,Healthcare,Beginner,"Competency in Healthcare Skill 19 for practical, enterprise-ready outcomes.",93,0.448
