post_id,user_id,post_type,content,hashtags,likes_count,comments_count,shares_count,ai_moderation_status,created_at
PST0000001,USR022786,Learning Update,"Sharing my learning progress and insights on HR. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#HR #KaaS #Learning #AI,882,452,7,Approved,2026-04-23
PST0000002,USR044265,Poll,"Sharing my learning progress and insights on AI. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#AI #KaaS #Learning #AI,4164,37,28,Flagged,2026-05-12
PST0000003,USR030669,Project Showcase,"Sharing my learning progress and insights on Cloud. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Cloud #KaaS #Learning #AI,4965,268,175,Approved,2026-02-02
PST0000004,USR019722,Job Opportunity,"Sharing my learning progress and insights on Quality Management. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#QualityManagement #KaaS #Learning #AI,3729,161,79,Flagged,2026-03-08
PST0000005,USR002564,Project Showcase,"Sharing my learning progress and insights on Cybersecurity. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Cybersecurity #KaaS #Learning #AI,4835,94,16,Flagged,2026-03-29
PST0000006,USR040747,Article Share,"Sharing my learning progress and insights on AI. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#AI #KaaS #Learning #AI,1799,22,100,Approved,2026-01-08
PST0000007,USR012173,Project Showcase,"Sharing my learning progress and insights on AI. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#AI #KaaS #Learning #AI,1740,16,132,Approved,2026-01-07
PST0000008,USR007652,Project Showcase,"Sharing my learning progress and insights on Leadership. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Leadership #KaaS #Learning #AI,1530,22,148,Approved,2026-04-27
PST0000009,USR015352,Question,"Sharing my learning progress and insights on HR. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#HR #KaaS #Learning #AI,860,248,39,Needs Review,2026-04-04
PST0000010,USR006348,Achievement,"Sharing my learning progress and insights on Healthcare. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Healthcare #KaaS #Learning #AI,3165,430,187,Approved,2026-01-27
PST0000011,USR015010,Achievement,"Sharing my learning progress and insights on Cloud. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Cloud #KaaS #Learning #AI,1874,337,63,Approved,2025-11-17
PST0000012,USR007817,Achievement,"Sharing my learning progress and insights on HR. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#HR #KaaS #Learning #AI,158,96,123,Flagged,2026-04-22
PST0000013,USR044203,Project Showcase,"Sharing my learning progress and insights on Governance. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Governance #KaaS #Learning #AI,3322,284,62,Approved,2026-04-02
PST0000014,USR040331,Job Opportunity,"Sharing my learning progress and insights on Manufacturing. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Manufacturing #KaaS #Learning #AI,614,3,61,Flagged,2026-04-28
PST0000015,USR000002,Article Share,"Sharing my learning progress and insights on Full Stack. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#FullStack #KaaS #Learning #AI,1581,46,200,Flagged,2026-02-02
PST0000016,USR024241,Poll,"Sharing my learning progress and insights on Sales. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Sales #KaaS #Learning #AI,1241,271,39,Needs Review,2026-05-12
PST0000017,USR029925,Project Showcase,"Sharing my learning progress and insights on Finance. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Finance #KaaS #Learning #AI,2050,107,59,Approved,2026-02-25
PST0000018,USR000308,Article Share,"Sharing my learning progress and insights on HR. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#HR #KaaS #Learning #AI,2448,372,156,Approved,2026-05-06
PST0000019,USR036440,Question,"Sharing my learning progress and insights on Cloud. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Cloud #KaaS #Learning #AI,5000,275,44,Approved,2026-04-01
PST0000020,USR015816,Article Share,"Sharing my learning progress and insights on AI. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#AI #KaaS #Learning #AI,4314,134,3,Approved,2025-12-10
PST0000021,USR009359,Question,"Sharing my learning progress and insights on Sales. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Sales #KaaS #Learning #AI,4910,308,190,Flagged,2026-04-28
PST0000022,USR021758,Article Share,"Sharing my learning progress and insights on Project Management. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#ProjectManagement #KaaS #Learning #AI,3996,17,27,Needs Review,2026-04-10
PST0000023,USR004724,Article Share,"Sharing my learning progress and insights on Data Science. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#DataScience #KaaS #Learning #AI,490,408,196,Approved,2025-12-10
