batch_id,enterprise_id,course_id,batch_name,trainer_id,start_date,end_date,delivery_mode,participant_count,attendance_avg_pct,completion_avg_pct,training_roi_score,status
BAT000001,ENT00172,CRS005311,Corporate Training Batch 1,USR033340,2025-12-15,2025-12-29,Hybrid,197,68,82,55,Planned
BAT000002,ENT00215,CRS010248,Corporate Training Batch 2,USR006494,2026-04-26,2026-06-25,Offline,37,57,100,48,On Hold
BAT000003,ENT00355,CRS008157,Corporate Training Batch 3,USR019294,2026-04-07,2026-06-06,Offline,87,56,81,89,On Hold
BAT000004,ENT00029,CRS024516,Corporate Training Batch 4,USR034747,2026-04-29,2026-06-28,Offline,200,59,58,78,Planned
BAT000005,ENT00279,CRS019814,Corporate Training Batch 5,USR008247,2025-12-31,2026-03-31,Hybrid,139,58,56,22,Running
BAT000006,ENT00079,CRS045525,Corporate Training Batch 6,USR049843,2026-03-30,2026-05-29,Hybrid,42,85,31,90,On Hold
BAT000007,ENT00429,CRS049762,Corporate Training Batch 7,USR014551,2026-01-18,2026-02-17,Online,74,93,51,37,Completed
BAT000008,ENT00006,CRS005964,Corporate Training Batch 8,USR047964,2026-04-24,2026-05-24,Hybrid,66,91,30,85,On Hold
BAT000009,ENT00230,CRS025704,Corporate Training Batch 9,USR041527,2025-12-09,2025-12-23,Online,396,73,82,45,Planned
BAT000010,ENT00408,CRS005613,Corporate Training Batch 10,USR003397,2025-12-24,2026-01-23,Hybrid,485,75,80,39,Completed
BAT000011,ENT00201,CRS007767,Corporate Training Batch 11,USR032586,2026-01-17,2026-01-31,Online,225,68,75,80,Completed
BAT000012,ENT00465,CRS011423,Corporate Training Batch 12,USR023321,2025-11-18,2026-02-16,Online,250,97,22,54,Planned
BAT000013,ENT00315,CRS004401,Corporate Training Batch 13,USR015028,2025-12-26,2026-03-26,Offline,396,65,20,43,On Hold
BAT000014,ENT00061,CRS046020,Corporate Training Batch 14,USR012578,2026-02-25,2026-04-11,Offline,132,78,34,41,Planned
BAT000015,ENT00045,CRS013625,Corporate Training Batch 15,USR040808,2026-03-07,2026-04-06,Offline,442,68,52,96,On Hold
